original_row_index,oof_pred_lr,rating_true
1,3.6552854354207533,3.0
2,3.5801268032742595,2.0
3,3.866816186859106,2.0
5,3.9663573403249,2.0
7,3.599721378310934,2.0
8,3.7032534575376816,2.5
9,3.6643519897490293,1.0
10,3.6573807962016827,4.0
11,3.647844276539415,4.0
12,3.4593028679998876,3.0
14,3.5210496110405574,2.0
15,3.384771156168876,2.5
16,3.3830983163100843,1.0
18,3.41625796305982,4.0
20,3.516489260189217,5.0
22,3.803640091101692,4.0
25,3.7796913103702092,5.0
29,3.579266590402362,3.0
30,3.6487905028702285,3.0
31,3.362812667227463,3.0
37,3.690388076219367,4.0
39,3.7572286647684865,5.0
40,3.3140917702960433,4.0
45,3.4839802091941188,4.0
48,3.5243589226554963,3.0
49,3.9078714342363305,3.0
52,3.55117252066332,3.0
53,3.7405179208627493,3.0
54,3.592600478956984,3.0
55,3.4079337656548216,2.0
57,3.4940311432476814,3.0
59,3.5401746500509343,4.0
63,3.779257887379463,4.0
64,3.690653057633967,4.0
66,4.178122280158348,4.0
67,3.5357358152749803,3.0
68,3.726505262935994,5.0
69,3.3304591478150742,3.0
70,3.2378580585649344,3.0
72,3.4867207203749007,3.0
74,3.7187965376454097,5.0
75,3.5710851940027357,5.0
76,3.7085939582464307,3.0
77,3.776394591657342,3.0
80,3.4454727735304784,3.0
86,3.803557942460851,5.0
88,4.1536144989535355,3.0
90,3.5665569302424944,3.0
93,3.5465030393678356,3.5
94,3.9073330836491627,4.0
96,3.3393549403526275,5.0
99,3.587950162361878,3.0
100,3.6929545243100836,4.0
101,3.2320620050612736,3.5
102,3.4604478301903767,4.5
103,3.5764942730417326,4.0
104,3.8514204783963635,4.0
105,3.5404049287651107,4.0
107,3.5128785646370053,3.0
108,3.591947476399443,3.0
113,3.6207291128184305,4.0
115,3.4129391186184828,3.0
116,3.837736078331851,3.5
117,3.6439815608847783,3.0
119,3.602923856751404,3.0
122,3.3234822733735596,3.5
124,3.590197746433349,4.5
127,3.4217724346080813,5.0
130,3.4263148128920418,4.0
132,3.6487905028702285,3.0
133,3.9040542982861766,5.0
136,3.4586171031805155,5.0
137,3.7908352323347034,5.0
141,3.2693939882968346,3.0
143,3.3977432260571314,4.0
146,3.5401746500509343,5.0
148,3.500040791153137,5.0
149,3.388593601633232,5.0
150,3.7187965376454097,3.0
153,3.8862506484836365,4.0
154,3.7495534587817794,5.0
155,4.294419099831602,5.0
157,3.6861546038200514,4.0
158,4.011120333072303,5.0
162,3.601505810675954,5.0
163,3.6000071698983866,5.0
166,3.497360981785829,5.0
168,3.587678471893285,5.0
169,3.6563496301219285,5.0
170,3.621098089512459,5.0
171,3.6447655598236874,5.0
174,3.675308576013573,5.0
176,3.7358470322310757,5.0
177,3.1968681150093983,5.0
179,3.876428850143391,5.0
180,3.5887814954934423,5.0
181,3.894980479356231,5.0
182,3.3287484732956876,5.0
185,3.8433148914779482,5.0
186,3.8729142491111475,5.0
188,3.5472650542984088,5.0
192,3.495912194386749,5.0
193,3.5818850907463737,5.0
194,3.975452626138192,5.0
198,3.548611897789216,4.0
202,3.3765481661593872,3.0
204,3.6791294204345473,3.0
205,3.4397056081895703,3.0
209,3.304760773978103,3.0
211,3.451411134930744,4.0
212,3.7382180234572298,5.0
213,3.5260156207716604,1.0
214,3.348269317243255,5.0
215,3.221723732977248,4.0
217,3.6450411815002757,5.0
218,3.957972287619969,5.0
220,3.5664597185625224,3.0
221,3.712482724616441,5.0
222,3.443190403354057,5.0
225,3.226786230685229,2.0
228,3.7484191779750398,4.0
230,3.8608913187352885,4.0
231,3.433812318300751,4.0
232,3.3327259623736243,3.0
233,3.944560944142072,5.0
236,3.8770995953957557,5.0
237,3.9834562873506023,5.0
238,3.342817422731276,4.0
240,3.4378510204277317,5.0
241,4.300090515502323,5.0
243,3.880208826338766,5.0
246,3.725155983817098,5.0
247,3.933652670625883,4.0
248,3.6974366545057302,4.0
249,3.449138384235893,5.0
250,3.707127052697463,5.0
251,3.481703778966727,5.0
252,3.6978751702595796,3.0
254,3.7643824614036467,5.0
255,3.5799760697867256,5.0
256,3.6372060333541034,4.0
258,3.577064981184183,4.0
261,3.727393366997582,5.0
262,3.7464918389119126,5.0
266,3.5790251950011127,5.0
268,3.4895507201943277,4.0
269,3.1224006107545663,4.0
270,3.575115452506637,5.0
271,3.1838160414965864,5.0
272,3.3436620329127917,1.0
273,3.5996867063833924,5.0
275,3.3776914220477368,5.0
276,3.601401128054446,3.0
278,3.7281638850681422,5.0
279,3.78626249340324,5.0
284,3.494197457919136,3.0
285,3.583105552554399,5.0
286,3.612878048921803,5.0
288,3.8648217783495484,5.0
290,3.42175473590273,4.0
291,3.5329450251696795,4.0
292,3.606440647926033,5.0
293,3.6082826636592933,4.0
294,3.435567024689365,4.0
296,3.8537972394868785,2.0
299,3.3950030023632602,4.0
301,3.4487867970937836,3.5
302,3.4784682162892917,3.5
303,3.792948038996529,4.0
305,3.459528939779785,4.0
306,3.5962009728079067,4.0
307,3.4284994178320587,4.5
310,3.6333537232765645,4.0
311,3.445958283069661,5.0
313,4.285484349440015,2.5
317,3.6444751846808976,5.0
318,4.151481723067177,3.0
319,4.218829272848612,2.5
321,3.5419977671395126,4.0
325,3.304760773978103,3.5
327,3.4604478301903767,4.0
328,3.3319861186271713,4.0
330,3.3499973736882165,4.5
331,3.8069192597219743,4.0
334,3.759808899945229,1.5
335,3.762747218552749,5.0
336,3.2678040845284944,4.0
337,3.523306293590866,4.0
339,3.2667806834303112,4.0
340,3.493958674389822,3.5
341,3.479258819184432,4.0
342,3.5095755791844,4.5
346,3.554896084998463,3.5
348,3.4371760444704393,3.5
349,3.6830740963100412,3.5
350,3.656635383301699,4.0
352,3.541398077123345,4.5
353,3.328776416171394,3.5
354,3.4524030984543344,4.0
355,3.2667458151747435,4.0
356,3.7445812977653374,3.5
357,3.3130063480126184,4.5
362,3.4713774087092686,3.0
363,3.5990515721211525,4.5
368,3.8391730287824735,3.5
374,3.6083566499547395,4.0
375,3.2352975412278244,4.0
376,3.727342831292579,2.5
379,3.7544885128011907,4.0
381,3.1776463312268404,4.5
383,3.705251969511008,4.5
384,3.7959146093662466,4.5
385,3.1005718588378377,3.5
386,3.6964552331140106,5.0
388,3.2863130556632005,4.5
392,3.404634887014315,4.0
393,3.353804001071448,4.5
394,4.014644414427494,4.0
395,3.251355232046782,2.0
396,3.4342263238222115,2.0
398,4.136980301770541,4.0
399,3.8522568366757834,4.0
400,4.163997957507536,5.0
401,4.155213816911225,4.5
402,3.9341979852875304,4.5
403,4.058468507942501,4.5
405,3.5380076233208198,2.0
406,3.4340577544877413,2.0
407,3.5487363595008237,2.0
408,3.462825244017269,0.5
411,4.0026134099972825,4.0
412,3.0659780760160924,4.0
413,3.4757410046176793,4.0
416,3.905524715948169,4.0
417,3.568471656607235,1.0
418,3.136610227605911,2.0
419,3.5231817311132754,4.0
420,3.1959101063218296,3.0
423,3.4199309132005196,1.0
424,3.4123627719355123,4.0
425,3.286047334093091,3.5
426,3.456247774192201,1.5
427,3.5106440592942536,1.5
429,3.5278195081554067,5.0
434,3.1721054978348766,4.0
435,3.4978681610274704,3.0
444,3.385360373838633,4.0
445,3.634728624514939,4.0
448,3.9251431432500343,5.0
449,3.4746847647524413,2.0
450,4.186704874922976,5.0
452,3.260177111479231,3.0
454,3.5254382421012793,3.0
455,3.8605028983322596,3.0
457,3.592392580125457,3.0
458,3.282124078353588,4.0
459,3.542504272635041,4.0
460,3.4292571937198066,3.0
461,3.6307683256941043,4.0
462,3.5209559957130763,3.0
463,4.476653570897649,4.0
464,3.7351669300238846,4.0
465,3.502012848081794,4.0
468,3.57079132662648,3.0
469,4.1545092930904435,4.0
470,3.6539391969268005,3.0
473,3.3813912688839913,2.0
474,3.5465030393678356,1.0
476,3.395139968278508,2.0
477,3.947192925490308,4.0
479,3.658106448555419,3.0
481,3.5851633827028895,4.0
484,3.5636907336729653,3.0
487,3.339661318750108,3.0
488,3.7135541481757945,5.0
489,3.602103536833916,5.0
490,3.3916823389613397,4.0
491,3.8708899768364695,5.0
494,3.627746630820385,5.0
495,3.4926975220861007,3.0
497,3.5726130640522684,3.0
498,4.125413272461635,4.0
499,3.485459986870863,4.0
500,3.5647469519313253,3.0
501,3.609997749406422,3.0
502,3.548611897789216,3.0
503,3.4220640494027754,3.0
505,3.381444581642906,3.0
506,3.448998218935316,2.0
507,3.487454393834025,4.0
509,3.682446089199879,3.0
511,3.663648751917175,5.0
512,3.779977157976626,1.0
513,3.516650186395516,5.0
514,3.4634718974386574,2.5
515,3.6357147965733887,5.0
522,3.839812980320441,4.0
525,3.7421729528597623,2.0
526,4.145185472354815,5.0
527,3.4423871384834936,5.0
528,3.376496974336794,4.0
529,3.7085939582464307,4.5
530,3.723209180857378,4.0
531,3.718448864649434,3.5
532,4.287177198737487,5.0
533,3.6930658965442995,3.5
535,3.7135541481757945,4.0
536,3.598012320491947,4.0
537,3.894275100595531,4.0
539,3.408193593028155,4.0
540,3.9518909762963053,4.0
542,3.5031741804727794,4.0
544,3.760891305371195,0.5
545,3.5287855476673444,4.0
546,3.470158333554907,3.0
550,3.7389073227182137,4.0
551,3.7908615703295396,4.0
553,3.4638537466027137,3.5
554,3.798853076458696,5.0
556,3.4378510204277317,3.0
557,3.9024852961750702,3.0
562,3.4587608902770732,3.5
563,3.467630272131452,3.5
569,3.5996867063833924,4.5
571,3.187651788761345,3.0
573,3.550176300318043,5.0
574,4.120427848444501,4.0
575,3.790340248277953,4.5
578,3.3085484612588254,4.0
580,3.584537041020773,4.5
581,3.6845677247695945,3.5
583,3.5771557825474867,5.0
584,3.7021630459294954,4.0
587,3.520013977863461,3.5
591,3.592830765103952,3.5
592,3.491911729947759,5.0
594,3.303188972510395,4.5
595,3.595947146245167,4.0
596,3.0851389516840566,4.0
597,3.792217425770802,3.0
603,3.5894540618874777,5.0
604,3.5253013104709012,3.0
606,3.521613813161934,4.0
607,3.5946069719155744,4.0
608,3.4923880907079563,4.0
609,3.6432017698438326,2.5
614,3.28454776044488,4.5
615,3.5779465183616956,4.5
616,3.28209076775602,3.5
618,3.5123944349012675,3.5
619,3.2492393989960964,2.0
621,3.3577537457026048,3.0
622,3.3176947704778055,3.0
623,3.577473760175009,4.0
624,3.6896915867549165,4.0
626,3.6734296641111874,3.0
629,3.7251971628956086,4.0
630,4.178122280158348,5.0
631,3.6238193096211,5.0
632,3.714334562041448,4.0
633,3.7625206590402147,5.0
634,3.3675122918272375,2.0
635,3.704836251423172,5.0
636,3.765977345133087,4.0
637,3.658597196016392,4.0
638,3.487166499662724,4.0
639,3.5234891927248846,5.0
640,3.7930699832344894,4.0
641,3.4295059897730993,3.0
642,3.2985873657532405,5.0
643,3.8600964545362344,4.0
645,3.7236035727282744,4.0
647,3.2749526070425405,3.0
648,3.420603248579939,4.0
651,3.593475799971779,4.0
652,3.63998331753583,4.0
653,3.771676276038406,2.0
654,3.4599106509531503,3.0
655,3.3791322971161106,2.0
656,3.5709394507201395,5.0
657,3.344642054505945,3.0
659,3.789803671852093,5.0
660,4.186160025924414,4.0
662,3.560484310158965,3.0
663,3.212135250813519,4.0
665,3.6563496301219285,3.0
667,3.361472960801894,4.0
669,3.339661318750108,4.0
670,3.7358470322310757,4.0
671,3.2551612323984505,4.0
673,3.389199661633873,3.0
677,3.8401825480456577,4.0
678,3.650625067210872,3.0
679,3.24727536924773,3.0
681,3.08456331094244,3.0
683,3.7182452101537273,5.0
684,3.357268555569779,5.0
691,3.5547440257633687,3.0
694,3.6443091887280943,3.0
695,3.2492307704916623,4.0
696,3.2154173937575856,2.0
697,3.6151727672450447,3.0
698,3.856283967563132,4.0
699,3.7948051444481323,5.0
705,4.254222024333924,5.0
706,3.641052045274234,4.5
707,3.807874590451359,5.0
708,3.7485689177460584,5.0
710,3.6945222081245985,3.0
711,3.818761710021639,3.0
712,3.792217425770802,3.0
714,3.122544142268043,4.0
715,3.620659969569398,4.5
717,3.2331304695945913,4.0
719,3.768323996647818,3.0
720,3.5931922836919226,3.5
725,3.149363789559554,4.0
727,3.4358366284784663,4.0
728,3.422896650633003,5.0
729,3.3001511222388045,5.0
731,3.7654342334571456,2.0
732,3.541307190057839,1.0
733,3.5350759840129165,4.0
734,3.5832839488669785,1.0
742,3.3961087326758403,1.0
743,3.4917226423665784,1.0
744,3.5287855476673444,4.0
745,3.548386795148691,2.0
747,3.437829009045715,2.0
749,3.9240355745559885,1.0
751,4.1215201812216335,4.0
753,3.7026037350318,1.0
757,3.425262054975466,1.0
758,3.6534249936420697,4.0
759,3.5814144097123366,2.0
760,3.552782387477475,1.0
765,3.3907258165686467,5.0
766,3.3281935329983945,2.0
768,3.133813090523339,5.0
771,3.9704525837954314,2.0
774,3.5686812068398908,5.0
775,3.6357147965733887,2.5
780,3.542504272635041,3.0
781,3.7396832736671883,3.5
782,4.145185472354815,4.0
783,3.6356370605850348,3.0
787,3.6272152688757324,3.0
788,3.934252798686451,4.0
789,3.5303648324231633,2.5
791,3.8072991060190966,4.0
792,3.428153105085115,4.0
793,3.5709394507201395,3.0
794,3.5043907049519825,3.5
795,3.5968175292631823,4.0
797,3.78402206324771,3.0
802,3.2089520804899943,3.0
806,3.3108783292814334,3.5
807,3.782625668533865,4.5
808,3.467585388394134,3.5
809,3.52308997923117,4.5
813,3.615149447368598,4.5
815,4.241156385263706,4.5
817,3.479561847974389,4.0
819,3.116283725547846,4.5
821,3.036864573016539,3.0
822,4.199981988056657,1.0
823,3.6930658965442995,4.0
824,3.4604478301903767,3.0
831,3.2389225394437693,3.0
832,3.5623389374068344,2.0
833,3.4371760444704393,4.0
834,3.258345435907543,2.0
835,3.211623060340301,5.0
837,3.3024310107030193,3.0
842,3.453772113242057,2.0
843,3.6208889787578933,4.0
845,3.4145775620702596,2.5
846,3.763917560575771,2.5
847,3.7732380972784014,3.5
848,3.6931583699375428,3.0
851,3.7075030669445166,3.0
852,3.480756208453829,4.0
856,3.4750879102236314,3.0
857,3.6734296641111874,5.0
