original_row_index,oof_pred_gbdt,rating_true
1,3.377360423747759,3.0
2,3.624010288349203,2.0
3,3.7309771060452883,2.0
5,3.716914667296667,2.0
7,3.444720654851596,2.0
8,3.1820776318072834,2.5
9,3.5089784583215633,1.0
10,3.858002939619966,4.0
11,3.718984979586828,4.0
12,3.6756579177191364,3.0
14,3.5450004736746883,2.0
15,3.5017696683157755,2.5
16,3.537991325398294,1.0
18,3.473338857580413,4.0
20,3.518084404366358,5.0
22,3.968295991701145,4.0
25,3.7018125117756577,5.0
29,3.479474010693379,3.0
30,3.4962621790247432,3.0
31,3.2292636491040594,3.0
37,3.505229418165753,4.0
39,3.54991068017001,5.0
40,3.373180733356543,4.0
45,3.349893032164759,4.0
48,3.6825389493389045,3.0
49,3.8135368184063387,3.0
52,3.4197126913316183,3.0
53,3.4766665302582176,3.0
54,3.4295156308434542,3.0
55,3.185684247232158,2.0
57,3.4935969225794734,3.0
59,3.5195974048022647,4.0
63,3.480840455187025,4.0
64,3.699993601265372,4.0
66,4.255047634410051,4.0
67,3.4608179849782723,3.0
68,3.7623747406907064,5.0
69,3.139110588292531,3.0
70,3.064870251652204,3.0
72,3.640562673510348,3.0
74,3.5362469321506738,5.0
75,3.656317939957249,5.0
76,3.8766784243787877,3.0
77,3.697079618903097,3.0
80,3.330580490619415,3.0
86,4.096129843200544,5.0
88,4.260881238724804,3.0
90,3.672110538614801,3.0
93,3.2958486874097765,3.5
94,4.002306205875063,4.0
96,3.790716268533393,5.0
99,3.5021864921362136,3.0
100,3.554232289902583,4.0
101,3.4241335322340993,3.5
102,3.4370619969485348,4.5
103,3.3764419187589327,4.0
104,3.838005534364617,4.0
105,3.752413075406828,4.0
107,3.1312356543170043,3.0
108,3.843628640973848,3.0
113,3.4740522050383023,4.0
115,3.846197072517077,3.0
116,3.6868242182091673,3.5
117,3.8632120272066666,3.0
119,3.5676387116445314,3.0
122,3.7362069943065026,3.5
124,3.510130450026752,4.5
127,3.5807745103183026,5.0
130,3.1606947961789555,4.0
132,3.4962621790247432,3.0
133,4.287761975922029,5.0
136,3.375587589165738,5.0
137,4.096936941353287,5.0
141,3.2843511406584884,3.0
143,3.214761043899146,4.0
146,3.5195974048022647,5.0
148,3.69911600313046,5.0
149,3.7704301558440267,5.0
150,3.5362469321506738,3.0
153,3.42936940398181,4.0
154,3.553642219069443,5.0
155,4.427680418134816,5.0
157,3.851479459840898,4.0
158,4.116493228412976,5.0
162,3.375943887915807,5.0
163,3.507545984719699,5.0
166,3.6410504750532646,5.0
168,3.658788315346446,5.0
169,3.9965110540916116,5.0
170,3.8979009885455858,5.0
171,3.609931209650509,5.0
174,3.9002515928710126,5.0
176,3.9553969191403753,5.0
177,3.922277247414748,5.0
179,3.6300948465664313,5.0
180,3.7220082331378808,5.0
181,3.7441646242839965,5.0
182,3.947861713309312,5.0
185,3.6893990273106083,5.0
186,3.6856689135687537,5.0
188,3.9286807098732726,5.0
192,4.0234858360385966,5.0
193,3.673345609311899,5.0
194,3.784309394542183,5.0
198,3.5532145935393027,4.0
202,3.1612902812881862,3.0
204,3.6338102484245716,3.0
205,3.3838938542791106,3.0
209,3.006424891063693,3.0
211,3.662888623697257,4.0
212,3.5690925808434546,5.0
213,3.5499394500970727,1.0
214,3.2619184080759185,5.0
215,3.10962732920543,4.0
217,3.8198604501265505,5.0
218,3.98914600967535,5.0
220,3.5425203152577587,3.0
221,4.004965527780444,5.0
222,3.6069719345820315,5.0
225,3.537359076154224,2.0
228,3.703600405532458,4.0
230,3.436464461184464,4.0
231,3.3436605671200628,4.0
232,3.4240456245001454,3.0
233,4.0878314008104715,5.0
236,3.7711286038555465,5.0
237,3.8097615097432054,5.0
238,3.284432678576703,4.0
240,3.4738205745826365,5.0
241,3.790083105334518,5.0
243,3.495818243631659,5.0
246,3.6112065451651274,5.0
247,3.67106615313214,4.0
248,3.4812529522740565,4.0
249,3.577826866874425,5.0
250,3.5506004942932257,5.0
251,3.5312818477437187,5.0
252,3.397093204717211,3.0
254,3.501967637084934,5.0
255,3.613659191777117,5.0
256,3.6128804295580377,4.0
258,3.791926358564623,4.0
261,3.8775162443357662,5.0
262,3.6255559926090144,5.0
266,3.5459638114851693,5.0
268,3.4641250889068247,4.0
269,2.9212193321278157,4.0
270,3.8727175023107647,5.0
271,3.1267362698122554,5.0
272,2.9335541255905433,1.0
273,3.7821874861204443,5.0
275,3.460176553575619,5.0
276,3.0988849504471547,3.0
278,3.5604395494492516,5.0
279,3.540832114504137,5.0
284,3.4288259866863893,3.0
285,3.568735869175683,5.0
286,3.6165995520082044,5.0
288,3.5613118393383396,5.0
290,3.6613907278813653,4.0
291,3.2678369232036464,4.0
292,3.491228792808076,5.0
293,3.8394719631124925,4.0
294,3.3779956680495355,4.0
296,3.603257641368619,2.0
299,3.123665536619138,4.0
301,3.426215668507372,3.5
302,3.39541985676807,3.5
303,4.108991779264177,4.0
305,3.459591028669469,4.0
306,3.411755071578199,4.0
307,3.4761863979428926,4.5
310,3.8505056641957154,4.0
311,3.529426045149484,5.0
313,4.428198169556279,2.5
317,3.714151623831228,5.0
318,4.310377007293503,3.0
319,4.313842664984754,2.5
321,3.573897437063972,4.0
325,3.006424891063693,3.5
327,3.4370619969485348,4.0
328,3.474279675326259,4.0
330,3.441993702902294,4.5
331,3.5338415174371454,4.0
334,3.6160577077542846,1.5
335,3.6523692911147085,5.0
336,3.4310190314026756,4.0
337,3.4969301654195384,4.0
339,3.220777789140143,4.0
340,3.8262747960304306,3.5
341,3.4378843832431563,4.0
342,3.18467008219029,4.5
346,3.838885423932176,3.5
348,3.575412380021763,3.5
349,3.4278396099038555,3.5
350,3.4003366000202364,4.0
352,3.383682301530059,4.5
353,3.369483271785013,3.5
354,3.4761236542213103,4.0
355,3.1480589129545797,4.0
356,3.76676870296284,3.5
357,3.132223902984151,4.5
362,3.3269348875221807,3.0
363,3.387327722895515,4.5
368,3.7709887976748253,3.5
374,3.845998460633169,4.0
375,3.81675606889487,4.0
376,3.7928770390030766,2.5
379,3.522223010030158,4.0
381,3.1699175029509163,4.5
383,3.6528233485422055,4.5
384,3.4989118504620955,4.5
