original_row_index,oof_pred_rf,rating_true
1,3.524979728964618,3.0
2,3.4855641839832696,2.0
3,4.058673140382471,2.0
5,3.9706738878206176,2.0
7,3.535441300230689,2.0
8,3.019035458828768,2.5
9,3.1961014466357667,1.0
10,3.874778963623742,4.0
11,3.728382844373461,4.0
12,3.6890495830379764,3.0
14,3.522227911485781,2.0
15,3.674334255497214,2.5
16,3.6457131223828805,1.0
18,3.389802469616922,4.0
20,3.520402163852588,5.0
22,4.285590112458401,4.0
25,3.8391405585553535,5.0
29,3.216548478115026,3.0
30,3.137931558884755,3.0
31,2.9501931388118745,3.0
37,3.709019416019477,4.0
39,3.5996870904121687,5.0
40,3.323171473409511,4.0
45,3.6912533627026836,4.0
48,3.6278326725133136,3.0
49,3.765382097507464,3.0
52,3.578222632202164,3.0
53,3.5447377523371615,3.0
54,3.5489826063614185,3.0
55,2.778996898311346,2.0
57,3.7769127128652964,3.0
59,3.678093631196495,4.0
63,3.7294856134071694,4.0
64,3.715660285547906,4.0
66,4.241726209566817,4.0
67,3.4884491682983145,3.0
68,3.7234537578160545,5.0
69,3.111890418822089,3.0
70,3.132460202198485,3.0
72,3.6539803449985273,3.0
74,3.658990893217135,5.0
75,3.3857323649615974,5.0
76,3.996569409313368,3.0
77,3.6317259706316336,3.0
80,3.159311711562607,3.0
86,4.05176565857145,5.0
88,4.262254486852443,3.0
90,3.4270636592338275,3.0
93,3.311122676446169,3.5
94,4.127090704669473,4.0
96,4.182374495754946,5.0
99,3.6617110320290998,3.0
100,3.276112327302509,4.0
101,3.5285815872110753,3.5
102,3.3376248904368198,4.5
103,3.5180091632972177,4.0
104,3.9847750135681155,4.0
105,3.8764009430454327,4.0
107,3.437442669260507,3.0
108,3.8289798515002316,3.0
113,3.588787058173545,4.0
115,3.721313948339434,3.0
116,3.785614680973282,3.5
117,3.8739709293441176,3.0
119,3.9430615017295,3.0
122,3.9490759464750744,3.5
124,3.789127685643835,4.5
127,3.5620751174111733,5.0
130,2.8744143777801456,4.0
132,3.137931558884755,3.0
133,4.271137763672428,5.0
136,3.6333005045444686,5.0
137,4.107841187369833,5.0
141,3.43768463249798,3.0
143,3.201917107299809,4.0
146,3.678093631196495,5.0
148,3.747630758403214,5.0
149,3.957905292908165,5.0
150,3.658990893217135,3.0
153,3.454154058740789,4.0
154,3.431924470752073,5.0
155,4.485531566335585,5.0
157,4.0250975821198365,4.0
158,4.189825746859674,5.0
162,3.1526672541421954,5.0
163,3.282012013300657,5.0
166,3.6943245531587268,5.0
168,3.7280414331692016,5.0
169,4.184692344479456,5.0
